Keyword;sentence_id;sentence with keyword match;Labelling 
asistencia técnica;00a55af_79;- Facilitar asistencia tecnica a los pequeños propietarios de bosques y areas naturales privadas, para que elaboren planes de manejo sostenibles, para ser incorporados en los programas de incentivos nacionales y locales existentes;1
asistencia técnica;15169f7_74;Facilitar asistencia tecnica a los pequeños propietarios de bosques y areas naturales privadas, para que elaboren planes de manejo sostenibles, para ser incorporados en los programas de incentivos nacionales y locales existentes;1
asistencia técnica;3416cbf_67;Estimular a las comunidades a proporcionarles mantenimiento y limpieza a las barrancas, quebradas y zonas de los suburbios y caminos vecinales, dando al respecto la asistencia tecnica necesaria y acompañamiento en procesos participativos para tal fin;1
asistencia técnica;3c8c7a4_66;Para los efectos de implementacion de las normas tecnicas anteriores y otras que se estimen necesarias realizar, el Municipio solicitara la colaboracion y asistencia tecnica del Ministerio del Medio Ambiente y Recursos Naturales, de la Direccion General de CENDEPESCA del Ministerio de Agricultura y Ganaderia, de organismos internacionales especializados en el tema asi como de las entidades no gubernamentales que trabajen en esta materia;0
asistencia técnica;48bdadf_160;c) Gestionar asistencia tecnica en nuevas tecnologias para el municipio, de manera que promuevan la agricultura organica, conservacion de suelos y agua;0
asistencia técnica;48bdadf_162;d) Gestionar juntamente Gobierno Municipal y otras organizaciones Gubernamentales y no Gubernamentales, la asistencia tecnica permanente que permita la conservacion de las cuencas y ecosistema hidrico del municipio;0
asistencia técnica;499d53d_51;Brindar asistencia tecnica y legal, sobre el manejo integral del fuego a quien ejerza la tenencia de la tierra;1
asistencia técnica;66d8c54_80;Facilitar asistencia tecnica a los pequeños propietarios de bosques y areas naturales privadas, para que elaboren planes de manejo sostenibles, para ser incorporados en los programas de incentivos nacionales y locales existentes;1
asistencia técnica;6a85bfd_11;- Es competencia de la Alcaldia Municipal, fomentar e incentivar la plantacion, el manejo y conservacion de arboles que proporcionen sombra y un aspecto ornamental dentro del radio urbano, a traves de la Unidad Ambiental de la Alcaldia, en coordinacion co;0
asistencia técnica;7eab6c1_52;El Concejo Municipal debera fomentar las actuaciones por compensacion y cooperacion, debiendo proporcionar a los propietarios la asistencia tecnica que sea necesaria;1
asistencia técnica;88ad2ff_51;El Concejo Municipal debera fomentar las actuaciones por compensacion y cooperacion, debiendo proporcionar a los propietarios la asistencia tecnica que sea necesaria;1
asistencia técnica;901a837_63;Por su parte, las autoridades edilicias daran aviso al Servicio Forestal y de Fauna si notaran alguna anomalia relacionada con las actividades descritas en el inciso precedente, a efecto de que este ultimo proporcione la asistencia tecnica necesaria para que el municipio, desarrolle programas o campañas de forestacion, reforestacion o conservacion de bosques protectores;0
asistencia técnica;901a837_81;"Para este efecto; el Gobierno Municipal, gestionara ante la Direccion General de Recursos Naturales Renovables del Ministerio de Agricultura y Ganaderia o al Ministerio de Medio Ambiente y Recursos Naturales el otorgamiento de la asistencia tecnica necesaria para el desarrollo de programas encaminados al fomento de practicas o tratamientos conservacionistas";1
asistencia técnica;902bedc_41;- El Comite de Seguimiento Municipal podra pedir la colaboracion y asistencia tecnica necesaria, en el desarrollo de sus funciones, a las instituciones publicas siguientes: A la Unidad de Gestion de Vida Silvestre del Ministerio del Medio Ambiente y Recur;0
asistencia técnica;902bedc_58;Para los efectos de implementacion de las normas tecnicas anteriores y otras que se estimen necesarias realizar, el Municipio solicitara la colaboracion y asistencia tecnica del Ministerio del Medio Ambiente y Recursos Naturales, de la Direccion General de CENDEPESCA del Ministerio de Agricultura y Ganaderia, de FUNZEL, de organismos internacionales especializados en el tema asi como de las entidades no gubernamentales que trabajen en esta materia;0
asistencia técnica;b8dd82f_15;- La Seccion de Desarrollo tendra como objetivo, programar y coordinar la asistencia tecnica a los agricultores y ganaderos del Distrito, a fin de lograr una mayor produccion;1
asistencia técnica;e18d168_244;- Los canones resultantes del regimen de acceso de las diferentes actividades de la pesca y la acuicultura ingresaran al Fondo de Actividades Especiales de CENDEPESCA y se destinaran para atender actividades de capacitacion, monitoreo de recursos, investi;0
asistencia técnica;e18d168_247; las asociaciones de pescadores artesanales juridicamente constituidas tendran en los primeros diez años de esta Ley asistencia preferencial en los programas de capacitacion y asistencia tecnica que impulse CENDEPESCA;1
asistencia técnica;ee138a1_13;"En caso de la mineria artesanal de pequeña escala para subsistencia familiar, artesanal y gliriseros, tendra un plazo de dos años, contados a partir de la entrada en vigencia de esta ley, para reconvertirse a otra actividad productiva; para ello, contaran con el apoyo, el asesoramiento y la asistencia tecnica y financiera del Estado salvadoreño";1
ayuda;00a55af_61;Para esta clase de ayuda sera prioritario planificar proyectos que sean gestionados ante los organismos respectivos;1
ayuda;15169f7_58;Para esta clase de ayuda sera prioritario planificar proyectos que sean gestionados ante los organismos respectivos;1
ayuda;17252d8_50;d) Coordinar ayuda tecnica y economica con instituciones de Gobierno, Cooperacion Internacional y otros para el tratamiento de aguas residuales;1
ayuda;29c84d6_47;f) Coordinar ayuda tecnica y economica con Instituciones de Gobierno, Cooperacion Internacional y otros, para el tratamiento de aguas residuales;1
ayuda;303730b_146;- Los proyectos sociales de beneficio colectivo, que en su constitucion y naturaleza esten declarados sin fines de lucro, y que dentro de sus objetivos tengan la generacion de valores, principios y practicas positivas tal como: Iglesias, Fundaciones o Aso;0
ayuda;323ef51_92;- Todo propietario, poseedor, usufructuario, arrendatario o mero detentador de bosque, suelos forestales y zonas protectoras, reserva forestales y parques municipales y nacionales, estan obligados a facilitar el exceso, transito o permanencia dentro de di;0
ayuda;4e220b5_119;colaboren en la prevencion o extincion de incendios, prestandoles la ayuda necesaria para el cumplimiento de su actividad;0
ayuda;66d8c54_62;Para esta clase de ayuda sera prioritario planificar proyectos que sean gestionados ante los organismos respectivos;1
ayuda;889f980_555;- Ante la inminencia u ocurrencia de un desastre ambiental, la Municipalidad solicitara a las instituciones pertinentes del Estado, se declarare el estado de emergencia ambiental por el tiempo que persista la situacion y sus consecuencias, abarcando toda ;0
ayuda;8e81fe2_558;- Ante la inminencia u ocurrencia de un desastre ambiental, la Municipalidad demandara de las instituciones pertinentes del Estado, el concesionario del puerto y la empresa naviera responsable, se declarare el estado de emergencia ambiental por el tiempo ;0
ayuda;930897c_161;Gestionar ayuda tecnica y economica con instituciones de Gobierno, Cooperacion Internacional y otros, para el tratamiento de las aguas residuales;1
ayuda;b8ff0ff_93;"f Gestionar y captar ayuda tecnica y economica con las instituciones del Gobierno, la Cooperacion Internacional y otras entidades orientada al tratamiento de aguas residuales;";1
ayuda;e2bb383_230;- Ante la inminencia u ocurrencia de un desastre ambiental, el Organo Ejecutivo, declarara el estado de emergencia ambiental por el tiempo que persista la situacion y sus consecuencias, abarcando toda la zona afectada, adoptando medidas de ayuda, asistenc;0
ayuda;ea91c69_93;Gestionar ayuda tecnica y economica con instituciones de Gobierno, Cooperacion Internacional y otros, para el tratamiento de las aguas residuales;1
bono;00a55af_80;La Municipalidad en coordinacion con la Mancomunidad Trinacional Fronteriza Rio Lempa, Entregar anualmente implementaran anualmente la entrega, a los propietarios de bosques y areas naturales, bonos o incentivos forestales, con el fin de lograr la conservacion de dichas areas;1
bono;15169f7_75;La Municipalidad en coordinacion con la Mancomunidad Trinacional Fronteriza Rio Lempa, implementaran anualmente la entrega, a los propietarios de bosques y areas naturales, bonos o incentivos forestales, con el fin de lograr la conservacion de dichas areas;1
bono;66d8c54_81;Entregar anualmente, a los propietarios de bosques y areas naturales, bonos o incentivos forestales, con el fin de lograr la conservacion de dichas areas;1
bono;d44820b_34;En el caso del Fondo de Saneamiento y Fortalecimiento Financiero, este debera recibir el pago referido, ya sea por medio de efectivo, de los antes relacionados bonos, o con bienes inmuebles, cuyos precios se estableceran por medio de un perito valuador inscrito en la Superintendencia del Sistema Financiero;0
bono;d44820b_51;- Autorizase al BFA para que transfiera al FOSAFRI, los prestamos de su cartera que sean objeto de aplicacion de esta Ley, y a este para que entregue en pago de dicha cartera bonos de la Reforma Agraria;0
crédito;0f03aa3_641;Actividades/Usos de Suelo Permitidos: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, cooperativas;0
crédito;0f03aa3_552;Actividades/Usos de Suelo Permitidos: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, cooperativas;0
crédito;0f03aa3_725;Actividades/Usos de Suelo Prohibidos: Aseguradora de carros, bancos, cajas de ahorro y credito, cooperativas, autobancos;0
crédito;0f03aa3_1077;Actividades/Usos de Suelo Prohibidos: Autobanco, aseguradora de vehiculos, cajas de ahorro y credito, bancos, aseguradoras, cooperativas;0
crédito;0f03aa3_803;Actividades/Usos de Suelo Prohibidos: Aseguradora de carros, bancos, cajas de ahorro y credito, cooperativas;0
crédito;0f03aa3_939;Actividades/Usos de Suelo Prohibidos: Aseguradora de carros, bancos, cajas de ahorro y credito, cooperativas, autobancos;0
crédito;0f03aa3_1142;Actividades/Usos de Suelo Prohibidos: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;0
crédito;1cd36a0_11;"- La presente ley tiene por objeto contribuir a enfrentar la crisis generada por la caida de los precios del cafe y los daños por el fuerte rebrote de la roya del cafeto; asimismo, seguir contribuyendo a la reactivacion del sector cafetalero, mediante la ";1
crédito;1cd36a0_15;- Durante la vigencia del presente Decreto se suspenden los juicios de naturaleza ejecutivo mercantil o civil que implique embargo, asi como los que esten iniciados o se encuentren en cualquier etapa del proceso judicial ejecutivo o mercantil en contra de;1
crédito;21dcf30_155;"El valor de la compra de un semoviente, sera asentado por el Elaborador de Cartas de Venta, en base a los datos quedan aportado los celebrantes a los Revisadores de Ganado; sin embargo, este debe estar acorde a los valores vigentes del mercado, cuidando de que no se subvalore para evadir el pago de la renta, ni tampoco debe permitir que se sobrevalore para la obtencion de creditos";0
crédito;265c79d_67;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;0
crédito;2947ddf_114;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;0
crédito;2947ddf_137;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;0
crédito;2b97317_113;"- El valor de la compra de un semoviente, sera asentado por quien elabora las Cartas de Venta, en base a los datos aportado por los celebrantes a los Revisadores de Ganado; sin embargo, este debe estar acorde a los valores vigentes del mercado, cuidando d";0
crédito;3294386_14;La presente ley especial transitoria tiene por objeto apoyar a los productores de cafe, que han sido afectados por la disminucion de los precios internacionales del cafe y por los efectos del cambio climatico, como ataques virulentos de roya del cultivo del cafe, que hayan comprobado su moralidad de pago ante sus acreedores y hayan expresado a su acreedor respectivo y al Ministerio de Agricultura y Ganaderia, su decision de acogerse al Programa de Rescate del Sector Cafe, mediante la suspension de procesos judiciales iniciados contra deudores de los bancos integrantes del sistema financiero estatal, por creditos relacionados con la produccion de cafe y contratados durante los ultimos cinco años, contados a partir del año 2012;1
crédito;3294386_15;Quedan suspendidos temporalmente, a partir de la vigencia del presente Decreto y hasta por seis meses, los procesos judiciales relacionados al incumplimiento de pagos de capital e intereses, sobre la deuda contraida con fondos provenientes de saldos de avio o insolutos, lineas de creditos de cafetales y todos aquellos relacionados a la caficultura que hayan sido otorgados por la banca estatal, ya sea con fondos propios de los bancos integrantes del sistema financiero estatal o del Banco de Desarrollo de El Salvador (BANDESAL), aplicados a cuotas de pago, a partir de enero del año 2013 y subsiguientes hasta antes de entrar en vigencia el presente decreto, cumpliendo los siguientes requisitos:;1
crédito;3294386_24;"Durante la vigencia del presente Decreto se suspenden los juicios de naturaleza ejecutiva mercantil o civil que impliquen embargo; asi como los juicios que esten iniciados o se encuentren en cualquier etapa del proceso judicial promovido por la banca estatal en contra de los productores de cafe, que se encuentren en deuda con fondos provenientes de los creditos relacionados con la caficultura, siempre y cuando estos cumplan con los requisitos establecidos en el articulo 2 del presente Decreto";1
crédito;5ea6d0c_197;ACTIVIDADES/ USOS DE SUELO ALTERNATIVOS: Cooperativas, Aseguradora de vehiculos, bancos, cajas de ahorro y credito, autobancos;0
crédito;5ea6d0c_148;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;0
crédito;643a949_7;"- Para viabilizar el cumplimiento del objeto de esta Ley, crease la institucion oficial de credito descentralizada denominada: ""BANCO DE TIERRAS”, que en adelante se denominara el BANCO";0
crédito;643a949_10;"- Seran sujetos de credito del ""BANCO"" los campesinos, agricultores en pequeño y pequeños productores, mayores de dieciocho años, que no sean propietarios de inmuebles rusticos, o que teniendolos, su extension superficial no exceda a las determinadas en e";0
crédito;643a949_18;Para los fines señalados en este articulo, las personas de dieciocho años se consideran habilitadas de edad para la obtencion de creditos destinados a la compra de inmuebles, asi como para constituir hipotecas a favor del BANCO, en garantia del pago correspondiente;0
crédito;643a949_26;"Conceder creditos a campesinos, agricultores en pequeño y pequeños productores, a fin de que estos adquieran tierras con vocacion agricola, pecuaria o forestal;";1
crédito;643a949_28;"Adquirir creditos hipotecarios, previamente calificados, de las instituciones del sistema financiero, siempre que tales creditos no esten en mora y se hayan originado de operaciones similares a las reguladas por esta ley;";1
crédito;70be962_15;"El Fideicomiso podra ser de inversion, administracion, de otorgamiento de creditos y servir de base para la emision de certificados fiduciarios de participacion, pudiendo realizar la compra y administracion de carteras de credito; por lo que, por medio del fiduciario, tendra entre otras la responsabilidad de administrar bienes fideicomitidos, entendiendose como parte de dicha administracion, el traslado de los fondos a los fideicomisarios productores del cafe legalmente registrados como tales en el Consejo Salvadoreño del Cafe; asi como el otorgamiento de creditos a estos; todo de conformidad a lo dispuesto en la presente ley y a las instrucciones que debe emitir el Consejo Ejecutivo regulado por esta ley, en adelante ""El Consejo""";1
crédito;70be962_31;"No obstante lo anterior, el fiduciario, cuando asi lo acuerde y lo apruebe el Consejo Ejecutivo, podra contratar creditos a cargo y para fines del fideicomiso, recibir donaciones, ya sea con gobiernos internacionales, bancos, organismos nacionales o internacionales que ofrezcan lineas de creditos en condiciones favorable; de todo ello respondera con los bienes fideicomitidos";1
crédito;70be962_64;Lo anterior, sin perjuicio de lo establecido en cualquier ley que establezca condiciones financieras especiales para la reactivacion de caficultores con creditos con el sistema financiero nacional;1
crédito;70be962_87;Conocer y aprobar la suscripcion y modificacion de los convenios o contratos a celebrarse con instituciones gubernamentales, financieras o con otros terceros, los cuales deberan ser idoneos para cumplir con los objetivos establecidos en el articulo 1 de esta ley, dentro de los cuales se podra suscribir contratos de compra y de administracion de cartera de creditos, en las condiciones que determina el Consejo;1
crédito;70be962_92;"Conceder con los recursos del fideicomiso, creditos a los fideicomisarios productores de cafe legalmente registrados como tales en el Consejo Salvadoreño de Cafe, los cuales podran ser otorgados en condiciones favorables que contemplen, dentro de otros, periodos de gracia, tasa de interes y plazos preferenciales; siempre que el destino de dichos creditos cumplan con el objeto del fideicomiso, todo de conformidad a lo establecido en la presente ley";1
crédito;70be962_93;Para tales efectos, el Consejo emitira las politicas y aprobara los instrumentos normativos para el otorgamiento de dichos creditos, asi como para su administracion, recuperacion, negociacion, dentro de otros aspectos;1
crédito;70be962_94;Asi mismo, podra conocer y aprobar sobre la contratacion de creditos a cargo y para fines del fideicomiso, ya sea con gobiernos internacionales, bancos, organismos nacionales o internacionales que ofrezcan lineas de creditos en condiciones favorables o aprobar la titularizacion de activos;1
crédito;70be962_96;Acordar la compra de cartera de creditos otorgados a los fideicomisarios productores de cafe legalmente registrados como tales en el Consejo Salvadoreño del Cafe, dentro de los limites establecidos por las normas, politicas o criterios que dicte el Consejo Ejecutivo, teniendo como base;1
crédito;70be962_97;Para lo anterior, se tendra como normativa propia del fideicomiso de acuerdo a su necesidad financiera u otras condiciones de conveniencia, incluyendo la facultad de pagar con certificados fiduciarios de participacion a los acreedores que corresponda, asi como la de aceptar la adquisicion de la cartera a descuento, partiendo de la evaluacion que se haga de los creditos que componen la misma;0
crédito;70be962_98;Caracteristicas de los creditos fiduciarios de participacion (;0
crédito;753300f_275;- El financiamiento para realizar todas aquellas actividades vinculadas a la gestion integral de residuos debe formar parte de los programas del Banco de Desarrollo de El Salvador, Banco de Fomento Agropecuario y Banco Hipotecario de El Salvador , a trave;1
crédito;a9bb3c2_28;Los recursos que se obtengan de las diferentes operaciones del credito autorizadas por esta Ley;0
crédito;d44820b_21;- La presente Ley tiene por objeto contribuir a la reactivacion del sector agropecuario mediante la readecuacion de los creditos a su valor actual, y el establecimiento de los mecanismos financieros que permitan cancelar las deudas contraidas por los adju;1
crédito;d44820b_25;"3 millones de colones, Fondos surgidos del convenio de donacion, proyecto AID No 519-0307, modificado mediante Carta de Implementacion No 39 del 20 de febrero de 1996; con la finalidad de convertir atodos los relacionados deudores en sujetos de credito con el Sistema Financiero";1
crédito;d44820b_29;"b) Los usuarios” pertenecientes al Sector Agropecuario deudores de las siguientes instituciones: FOSAFFI, FFRAP, BFA y FIDEAGRO, cuyas deudas fueron contraidas para financiar las actividades agropecuarias a que se refiere el Art 8 de esta Ley, calificados y no calificados bajo los beneficios de la Ley para la Rehabilitacion de los-Sectores Productivos Directamente Afectados por el Conflicto; en lo que respecta al BFA y FIDEAGRO los no calificados seran aquellos cuyos creditos fueron otorgados antes del dia 31 de diciembre de 1991, debiendo ademas estar calificados dentro de las categorias “D o E” a la fecha de vigencia de esta Ley; y, (";1
